row,column_idx,truth_value,llm_value,mismatch_value,llm_category
2,2,microarray,cgh,1,6
5,2,snrna-seq,scrna-seq,6,6
6,2,scrna-seq,rna-seq,6,6
7,2,microarray,cgh,1,6
8,2,microarray,cgh,1,6
9,2,scrna-seq; vdj-seq,sctcr-seq,5,6
10,2,scrna-seq; vdj-seq,sctcr-seq,6,6
10,4,kidney,brain,1,6
14,4,spleen,bone marrow,6,6
15,4,prostate,no,2,6
16,4,prostate,no,2,6
19,4,prostate cancer,prostate,1,3
20,4,prostate cancer,prostate,1,3
29,4,prostate,no,1,6
30,4,prostate,no,1,6
35,4,prostate carcinoma,prostate,3,3
36,4,prostate carcinoma,prostate,3,3
37,4,prostate carcinoma,prostate,3,3
38,4,prostate carcinoma,prostate,3,3
39,4,breast,breast tumor,2,4
40,4,breast,breast tumor,2,4
41,4,kidney,no,4,6
41,5,hek cells,hek-ter,4,4
42,4,kidney,no,4,6
42,5,hek cells,hek-ter,4,4
49,4,melanoma tumor sample/ skin?,skin,3,3
50,4,melanoma tumor sample/ skin?,skin,3,3
51,4,prostate,no,4,6
52,4,prostate,no,4,6
53,4,prostate,no,4,6
54,4,prostate,no,4,6
55,4,lung,no,1,6
56,4,lung,no,1,6
56,5,h1651,h1650,6,6
57,4,lymph nodes,draining lymph node,4,2
58,4,lymph nodes,draining lymph node,4,2
59,4,blood/ bone marrow,blood,5,5
59,5,hoxb8 cell,hoxb8,2,4
60,4,blood/ bone marrow,blood,5,5
60,5,hoxb8 cell,hoxb8,2,4
61,4,blood/ bone marrow,bone marrow,5,5
61,5,hoxb8 cell,hoxb8,6,4
62,4,blood/ bone marrow,bone marrow,5,5
62,5,hoxb8 cell,hoxb8,6,4
67,4,intestine,small intestine,4,3
68,4,intestine,small intestine,4,3
70,5,d459,d458 drug tolerant,6,6
71,4,spleen and peripheral lymph nodes,spleen,1,5
72,4,tumor inflitrating lymphocytes,blood,6,6
73,4,spleen and peripheral lymph nodes,spleen,1,5
74,4,tumor inflitrating lymphocytes,blood,6,6
77,4,prostate,no,4,6
78,4,prostate,no,4,6
79,4,abdomen,abdominal wall,4,4
80,2,scrna-seq,rna-seq,1,6
80,4,splenocytes and lymph nodes,lymphocytes,6,6
