row,column_idx,truth_value,llm_value,mismatch_value,llm_category
5,2,snrna-seq,scrna-seq,6,6
6,2,scrna-seq,rna-seq,6,6
9,2,scrna-seq; vdj-seq,scrna-seq,5,5
10,2,scrna-seq; vdj-seq,sctcr-seq,6,6
14,4,spleen,bone marrow,6,6
15,4,prostate,prostate cancer,4,4
16,4,prostate,prostate cancer,4,4
35,4,prostate carcinoma,prostate,3,3
36,4,prostate carcinoma,prostate,3,3
37,4,prostate carcinoma,prostate,3,3
38,4,prostate carcinoma,prostate,3,3
39,4,breast,breast tumor,4,4
40,4,breast,breast tumor,4,4
41,4,kidney,embryonic kidney,4,4
41,5,hek cells,hek-ter,4,4
42,4,kidney,embryonic kidney,4,4
42,5,hek cells,hek-ter,4,4
43,4,blood,bone marrow,6,6
44,4,blood,bone marrow,6,6
45,4,bone marrow,bone marrow microvascular niches (mvns),4,4
46,4,bone marrow,bone marrow microvascular niches (mvns),4,4
49,4,melanoma tumor sample/ skin?,skin,3,3
50,4,melanoma tumor sample/ skin?,skin,3,3
51,4,prostate,prostate cancer,4,4
52,4,prostate,prostate cancer,4,4
53,4,prostate,prostate cancer,4,4
54,4,prostate,prostate cancer,4,4
56,5,h1651,h1650,6,6
57,4,lymph nodes,draining lymph node,4,2
58,4,lymph nodes,draining lymph node,4,2
59,4,blood/ bone marrow,blood,5,5
59,5,hoxb8 cell,hoxb8,3,4
60,4,blood/ bone marrow,blood,5,5
60,5,hoxb8 cell,hoxb8,3,4
61,4,blood/ bone marrow,bone marrow,5,5
61,5,hoxb8 cell,no,6,6
62,4,blood/ bone marrow,bone marrow,5,5
62,5,hoxb8 cell,no,6,6
67,4,intestine,small intestine,4,3
68,4,intestine,small intestine,4,3
70,5,d459,d458,6,6
72,4,tumor inflitrating lymphocytes,blood,6,6
74,4,tumor inflitrating lymphocytes,blood,6,6
77,4,prostate,prostate cancer,4,4
78,4,prostate,prostate cancer,4,4
79,4,abdomen,abdominal wall tissue,4,4
80,4,splenocytes and lymph nodes,lymphocytes,6,6
81,4,splenocytes and lymph nodes,lymphocytes,6,6
82,5,myc-cap cells,myc-cap,3,2
83,5,myc-cap cells,myc-cap,3,2
85,5,tramp-c3,tramp-c2,6,6
86,5,myc-cap cells,myc-cap,3,2
87,5,myc-cap cells,myc-cap,3,2
88,5,myc-cap cells,myc-cap,3,2
89,5,myc-cap cells,myc-cap,3,2
92,5,kp cells,kp lung tumor cells,2,2
93,5,kp cells,kp lung tumor cells,2,2
94,3,mus musculus; synthetic construct,mus musculus,5,5
94,4,subcutaneously injected allograft tumor,subcutaneously injected tumor,3,2
94,5,,no,6,6
95,3,mus musculus; synthetic construct,mus musculus,5,5
95,4,subcutaneously injected allograft tumor,subcutaneously injected tumor,3,2
95,5,,no,6,6
97,4,prostate,prostate cancer,4,4
98,3,synthetic construct; homo sapiens and murine mouse model,homo sapiens,3,3
98,5,lncap/ar cells utilized to induce tumor in scid mice,lncap/ar,3,2
99,3,synthetic construct; homo sapiens and murine mouse model,homo sapiens,3,3
